Station Id,Station,Pr�c�dent,Suivant,Temps entre 2 stations,Temps de Changement,Column1,_1,Longitude d�part,Latitude d�part ,_2,Longitude arriv�e,Latitude arriv�e,_3,Distance,temps en secondes,temps en minutes,moyenne en minute
182,Lourmel,,183,,,,,228224196,4883866086,,2287918431,4884102416,,4915688178,8431712141,1405285357,
183,Boucicaut,,184,,,,,2287918431,4884102416,,229184722,4884268433,,3416773596,5860675123,976779187,
184,Félix Faure,,185,,,,,229184722,4884268433,,2293796842,4884461151,,2574423317,4415820441,735970074,
185,Commerce,,186,,,,,2293796842,4884461151,,2298525726,488496308,,6566852191,1126389741,1877316235,
186,La Motte-Picquet - Grenelle,,187,,,,,2298525726,488496308,,2306345684,4885491966,,8205007311,1407376897,2345628162,
187,Ecole Militaire,,188,,,,,2306345684,4885491966,,2310473536,4885772702,,434336572,7450026964,1241671161,
188,La Tour-Maubourg,,189,,,,,2310473536,4885772702,,231463266,4886109201,,4822660145,8272144331,1378690722,
189,Invalides,,190,,,,,231463266,4886109201,,2322961446,4886655799,,8605759392,1476116534,2460194223,
190,Concorde,,191,,,,,2322961446,4886655799,,2325810049,4887054468,,4898227401,8401762266,1400293711,
191,Madeleine,,192,,,,,2325810049,4887054468,,2331047287,4887143743,,3957015609,6787333806,1131222301,
192,Opéra,,193,,,,,2331047287,4887143743,,2338591222,4887213587,,5571876815,9557250111,1592875018,
193,Richelieu - Drouot,,194,,,,,2338591222,4887213587,,2343207266,4887150477,,3448243691,5914654701,985775783,
194,Grands Boulevards,,195,,,,,2343207266,4887150477,,2348481366,488705713,,3994641487,685187219,1141978698,
195,Bonne Nouvelle,,196,,,,,2348481366,488705713,,2354491617,4886962358,,4520477425,7753820627,1292303438,
196,Strasbourg - Saint-Denis,,197,,,,,2354491617,4886962358,,2363302341,4886751236,,6858676849,1176445429,1960742381,
197,République,,198,,,,,2363302341,4886751236,,2366745298,4886306988,,5544752279,9510724321,158512072,
198,Filles du Calvaire,,199,,,,,2366745298,4886306988,,236726154,4886096814,,2367343509,4060623514,676770586,
199,Saint-Sébastien - Froissart,,200,,,,,236726154,4886096814,,2368095085,4885708737,,43580921,7475286621,1245881104,
200,Chemin Vert,,201,,,,,2368095085,4885708737,,2368718961,4885205429,,5615112485,963141078,160523513,
201,Bastille,,202,,,,,2368718961,4885205429,,2376141223,4885133777,,5488809977,94147684,1569128067,
202,Ledru-Rollin,,203,,,,,2376141223,4885133777,,2384028566,4885011054,,5930219628,1017190331,1695317218,
203,Faidherbe - Chaligny,,204,,,,,2384028566,4885011054,,238720107,4884721293,,3971153134,6811583421,1135263903,
204,Reuilly - Diderot,,205,,,,,238720107,4884721293,,2390400014,4884400507,,4266496989,7318176653,1219696109,
205,Montgallet,,206,,,,,2390400014,4884400507,,2396148628,4883943401,,6597965563,1131726512,1886210853,
206,Daumesnil,,207,,,,,2396148628,4883943401,,240236674,4883707743,,5251356205,900747205,1501245342,
207,Michel Bizot,,208,,,,,240236674,4883707743,,2405873913,4883501737,,3440385089,590117511,983529185,
208,Porte Dorée,,209,,,,,2405873913,4883501737,,2402511873,4883344922,,3015943735,5173145342,86219089,
209,Porte de Charenton,,0,,,,,2402511873,4883344922,,,,,,,,
210,Porte de Saint-Cloud,,211,,,,,2257046193,488379584,,2259800845,4884258028,,5520551498,9469213547,1578202258,
211,Exelmans,,212,,,,,2259800845,4884258028,,2261511917,4884491123,,2878507452,4937405579,82290093,
212,Michel-Ange - Molitor,,213,,,,,2261511917,4884491123,,2263989525,4884797535,,3859479608,6620033633,1103338939,
213,Michel-Ange - Auteuil,,214,,,,,2263989525,4884797535,,2267933292,4885243342,,5735871346,9838544333,1639757389,
214,Jasmin,,215,,,,,2267933292,4885243342,,2269948158,4885550356,,3718527366,6378263063,1063043844,
215,Ranelagh,,216,,,,,2269948158,4885550356,,2274096245,4885809197,,4182530484,7174151774,1195691962,
216,La Muette,,217,,,,,2274096245,4885809197,,2277885898,4886395171,,7080980829,1214576471,2024294119,
217,Rue de la Pompe,,218,,,,,2277885898,4886395171,,2287492797,4886348766,,7046349433,1208636266,2014393777,
218,Trocadéro,,219,,,,,2287492797,4886348766,,2293864226,4886478002,,4877166265,8365636817,1394272803,
219,Iéna,,220,,,,,2293864226,4886478002,,2301104352,4886464715,,5298095536,9087642428,1514607071,
220,Alma - Marceau,,221,,,,,2301104352,4886464715,,2309488192,4886872489,,7626642955,1308172033,2180286722,
221,Franklin D. Roosevelt,,222,,,,,2309488192,4886872489,,2310137206,4887215513,,3843677196,6592928295,1098821383,
222,Saint-Philippe du Roule,,223,,,,,2310137206,4887215513,,2316010693,4887344791,,4529809315,7769827299,1294971216,
223,Miromesnil,,224,,,,,2316010693,4887344791,,2321013598,4887454661,,3857439837,6616534884,1102755814,
224,Saint-Augustin,,225,,,,,2321013598,4887454661,,2327651103,4887366675,,4951926253,8493870073,1415645012,
225,Havre-Caumartin,,226,,,,,2327651103,4887366675,,2333738594,488731342,,4491337158,770383732,1283972887,
226,Chaussée d'Antin - La Fayette,,227,,,,,2333738594,488731342,,2338591222,4887213587,,3718616771,6378416417,1063069403,
227,Richelieu - Drouot,,228,,,,,2338591222,4887213587,,2343207266,4887150477,,3448243691,5914654701,985775783,
228,Grands Boulevards,,229,,,,,2343207266,4887150477,,2348481366,488705713,,3994641487,685187219,1141978698,
229,Bonne Nouvelle,,230,,,,,2348481366,488705713,,2354491617,4886962358,,4520477425,7753820627,1292303438,
230,Strasbourg - Saint-Denis,,231,,,,,2354491617,4886962358,,2363302341,4886751236,,6858676849,1176445429,1960742381,
231,République,,232,,,,,2363302341,4886751236,,2368155845,488647771,,4674843839,8018600066,1336433344,
232,Oberkampf,,233,,,,,2368155845,488647771,,2373880538,4886141666,,5612390689,9626742176,1604457029,
233,Saint-Ambroise,,234,,,,,2373880538,4886141666,,2380031694,4885766243,,6138076915,1052843382,1754738969,
234,Voltaire,,235,,,,,2380031694,4885766243,,2384782396,4885493944,,4609538877,7906584695,1317764116,
235,Charonne,,236,,,,,2384782396,4885493944,,2389104705,4885221407,,4380018081,7512895508,1252149251,
236,Rue des Boulets,,237,,,,,2389104705,4885221407,,2395843989,4884808429,,6738197057,1155779941,1926299902,
237,Nation,,238,,,,,2395843989,4884808429,,2401170769,4885176244,,5649667089,9690681113,1615113519,
238,Buzenval,,239,,,,,2401170769,4885176244,,2406038545,4885273102,,3720867102,6382276333,1063712722,
239,Maraîchers,,240,,,,,2406038545,4885273102,,2410718154,4885348263,,3524378711,6045246503,1007541084,
240,Porte de Montreuil,,0,,,,,2410718154,4885348263,,,,,,,,
241,Gare d'Austerlitz,,242,,,,,2364177311,4884340541,,2354931672,4884619789,,7444237307,1276884615,2128141025,
